index,userId,data,date,type,currentView,item
5197,5fe8d26e88f0577d2608884f,unsuccessful,2021-01-06T00:51:14.978Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6383,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:51:42.519Z,RUN_DONE,RepeatL2PlaceRow,Repeat
2568,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:54:44.055Z,RUN_DONE,RepeatL3Corner9,Combine
1002,5fe8d26e88f0577d2608884f,successful,2021-01-06T01:04:25.991Z,RUN_DONE,Checker,Challenge
254,chidera933,successful,2021-01-06T01:44:31.322Z,RUN_DONE,ModifyMoves,ModifyMoves
2632,chidera933,successful,2021-01-06T01:46:11.696Z,RUN_DONE,CommandsMLMR,Basic Commands
2450,chidera933,successful,2021-01-06T01:46:59.463Z,RUN_DONE,MethodsStepUp,Function
4332,chidera933,unsuccessful,2021-01-06T01:48:44.913Z,RUN_DONE,RepeatL2PlaceRow,Repeat
3237,chidera933,successful,2021-01-06T01:50:25.625Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6180,mario2,successful,2021-01-01T19:39:05.958Z,RUN_DONE,RepeatL2PlaceRow,Repeat
5701,mario2,successful,2021-01-01T19:47:58.143Z,RUN_DONE,Checker,Challenge
